,id,amount_ethereum,amount_dollars,transaction_date
365,8242,17Ξ,"($32,705)","Feb 18, 2021"
366,8242,12.75Ξ,"($23,187)","Feb 14, 2021"
367,8242,8.50Ξ,"($15,446)","Feb 14, 2021"
368,8243,24.49Ξ,"($46,622)","Feb 19, 2021"
369,8244,4.13Ξ,"($1,524)","Oct 20, 2020"
370,8244,0.09Ξ,($60),"May 01, 2018"
371,8246,1.99Ξ,($771),"Sep 13, 2020"
372,8246,0.25Ξ,($38),"Nov 23, 2019"
373,8247,6.80Ξ,"($11,200)","Feb 03, 2021"
374,8247,6Ξ,"($3,711)","Dec 23, 2020"
375,8249,21.40Ξ,"($49,821)","Apr 23, 2021"
376,8249,0.18Ξ,($53),"Aug 13, 2017"
377,8249,0.30Ξ,($58),"Jul 19, 2017"
378,8250,0.35Ξ,($60),"Apr 21, 2019"
379,8251,0.65Ξ,($184),"Sep 20, 2017"
380,8252,0.51Ξ,($44),"Dec 13, 2018"
381,8253,28.25Ξ,"($54,380)","Feb 21, 2021"
382,8253,25Ξ,"($49,323)","Feb 21, 2021"
383,8253,0.57Ξ,($81),"Mar 31, 2019"
384,8254,1.30Ξ,($205),"Apr 28, 2019"
385,8255,0.39Ξ,($105),"Jul 04, 2017"
386,8256,0.27Ξ,($23),"Dec 13, 2018"
387,8260,0.14Ξ,($105),"May 07, 2018"
388,8262,29Ξ,"($61,937)","Apr 11, 2021"
389,8262,9.75Ξ,"($17,682)","Feb 17, 2021"
390,8262,8.08Ξ,"($14,388)","Feb 15, 2021"
391,8262,5.50Ξ,"($4,033)","Dec 30, 2020"
392,8262,2.85Ξ,($969),"Sep 23, 2020"
393,8262,1.99Ξ,($736),"Sep 15, 2020"
394,8262,1.30Ξ,($261),"May 26, 2020"
395,8263,29Ξ,"($51,523)","Mar 21, 2021"
396,8264,33Ξ,"($81,077)","Apr 15, 2021"
397,8267,0.85Ξ,($222),"May 19, 2019"
398,8267,0.08Ξ,($16),"Oct 14, 2018"
399,8268,29Ξ,"($73,443)","Apr 16, 2021"
400,8268,26.05Ξ,"($43,649)","Mar 27, 2021"
401,8270,39.50Ξ,"($71,798)","Mar 18, 2021"
402,8271,22.97Ξ,"($62,748)","Apr 29, 2021"
403,8273,24.50Ξ,"($40,398)","Feb 24, 2021"
404,8273,23.30Ξ,"($39,365)","Feb 24, 2021"
405,8273,9.10Ξ,"($16,607)","Feb 14, 2021"
406,8274,28Ξ,"($48,808)","Mar 08, 2021"
407,8274,25Ξ,"($36,557)","Feb 23, 2021"
408,8274,11Ξ,"($19,399)","Feb 15, 2021"
409,8274,5.70Ξ,"($2,020)","Oct 05, 2020"
410,8274,0.51Ξ,($99),"Apr 26, 2020"
411,8274,0.50Ξ,($72),"Jan 07, 2020"
412,8274,0.25Ξ,($45),"Sep 02, 2019"
413,8275,0.65Ξ,($160),"May 23, 2019"
414,8275,0.35Ξ,($61),"May 06, 2019"
415,8276,0.40Ξ,($48),"Jan 22, 2019"
416,8276,0.10Ξ,($60),"Jun 08, 2018"
417,8278,44.95Ξ,"($65,293)","Mar 01, 2021"
418,8278,0.45Ξ,($133),"Jun 21, 2019"
419,8279,11.25Ξ,"($20,115)","Feb 16, 2021"
