,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
9034,9034,1.0,0.49,0.49,Female,1665,Mid,"Earring,Horned Rim Glasses,Hot Lipstick,Wild Blonde",4,1
9035,9035,1.0,0.39,0.39,Female,5779,Dark,"Earring,Green Eye Shadow,Mohawk",3,1
9040,9040,4.0,0.9325000000000001,1.09,Male,6258,Mid,"Chinstrap,Horned Rim Glasses,Stringy Hair",3,1
9042,9042,5.0,5.864,20.98,Female,5685,Dark,"Blue Eye Shadow,Earring,Purple Lipstick,Wild Hair",4,1
9043,9043,1.0,0.25,0.25,Female,7843,Mid,"Clown Eyes Blue,Frumpy Hair,Pipe",3,1
9047,9047,7.0,12.207142857142856,24.88,Male,9894,Albino,"Bandana,Shadow Beard",2,1
9052,9052,1.0,18.0,18.0,Female,1897,Mid,"Blonde Bob,Blue Eye Shadow,Gold Chain",3,1
9055,9055,1.0,0.25,0.25,Male,9436,Light,"Cigarette,Frumpy Hair,Mole",3,1
9058,9058,1.0,75.0,75.0,Female,654,Albino,"Earring,Pigtails",2,1
9060,9060,3.0,9.496666666666668,27.5,Male,2700,Dark,"Cigarette,Clown Hair Green",2,1
9061,9061,1.0,17.0,17.0,Male,6659,Dark,"Earring,Horned Rim Glasses,Mohawk Dark,Mustache",4,1
9062,9062,1.0,41.0,41.0,Male,4402,Mid,Handlebars,1,1
9063,9063,2.0,75.75,79.0,Female,303,Light,"Mole,Orange Side",2,1
9064,9064,1.0,67.99,67.99,Female,407,Light,"Earring,Welding Goggles,Wild White Hair",3,1
9065,9065,2.0,26.5,30.0,Male,5169,Mid,"Bandana,Cigarette,Front Beard Dark,Mole",4,1
9069,9069,1.0,33.99,33.99,Male,3180,Light,"Cigarette,Normal Beard Black,Purple Hair",3,1
9070,9070,1.0,22.4,22.4,Male,5549,Dark,"Cigarette,Handlebars,Knitted Cap",3,1
9072,9072,2.0,25.375,27.5,Male,2517,Light,"Chinstrap,Clown Hair Green",2,1
9073,9073,1.0,22.0,22.0,Female,9388,Light,"Black Lipstick,Frumpy Hair,Horned Rim Glasses",3,1
9075,9075,3.0,21.833333333333332,22.5,Male,9086,Dark,"Eye Patch,Mohawk Thin",2,1
9076,9076,2.0,10.25,12.0,Male,5901,Dark,"Knitted Cap,Shadow Beard,Vape",3,1
9077,9077,1.0,0.66,0.66,Male,4172,Albino,"Clown Nose,Earring,Mohawk",3,1
9082,9082,2.0,30.1,33.95,Male,9891,Mid,"Bandana,Big Shades,Shadow Beard",3,1
9085,9085,2.0,6.925,13.85,Male,5999,Mid,"Cap,Front Beard",2,1
9086,9086,3.0,5.166666666666667,10.5,Female,273,Light,"Horned Rim Glasses,Orange Side,Vape",3,1
9089,9089,12.0,7.383333333333334,23.0,Male,4598,Light,"Cap Forward,Frown",2,1
9090,9090,1.0,9.5,9.5,Male,4999,Light,"Earring,Front Beard Dark,Frown,Shaved Head",4,1
9093,9093,1.0,27.25,27.25,Male,3791,Light,"Chinstrap,Earring,Eye Patch,Fedora",4,1
9094,9094,2.0,0.565,0.59,Male,7103,Mid,"Earring,Eye Mask,Peak Spike,Shadow Beard",4,1
9095,9095,2.0,4.595000000000001,8.72,Female,5406,Light,"Frumpy Hair,Purple Eye Shadow",2,1
9097,9097,1.0,103.0,103.0,Male,3297,Light,"Earring,Nerd Glasses,Smile,Vape,Wild Hair",5,1
9099,9099,4.0,22.1875,25.0,Male,6640,Light,"Cigarette,Crazy Hair,Earring,Mustache",4,1
9101,9101,1.0,0.49,0.49,Male,9938,Mid,"Bandana,Cigarette,Earring,Nerd Glasses",4,1
9102,9102,2.0,19.12,37.75,Female,2568,Light,"Clown Eyes Green,Clown Hair Green,Purple Lipstick",3,1
9103,9103,1.0,20.25,20.25,Male,6689,Mid,"Mohawk,Mustache",2,1
9106,9106,4.0,22.384999999999998,26.88,Male,6095,Mid,"Cigarette,Front Beard,Regular Shades,Stringy Hair",4,1
9107,9107,1.0,1.0,1.0,Female,4163,Light,"Black Lipstick,Clown Nose,Mohawk Dark",3,1
9110,9110,2.0,11.15,20.0,Male,5242,Mid,"Earring,Frown,Mohawk,Muttonchops",4,1
9111,9111,1.0,14.8,14.8,Female,8899,Mid,"Big Shades,Knitted Cap",2,1
