id,type_id,rarity,skin_id,total_traits,total_hidden_traits
900,4,8674,5,2,0
901,4,6005,6,3,0
902,5,3731,5,3,0
903,4,9619,5,4,0
904,4,3539,6,3,0
905,5,2033,7,4,0
906,4,6728,5,2,0
907,4,8803,6,2,0
908,5,2690,5,2,0
909,4,5254,7,3,0
910,4,9821,7,2,0
911,4,6186,6,3,0
912,4,7505,4,2,0
913,5,1509,5,3,0
914,4,3853,5,1,0
915,5,8191,5,2,0
916,4,1359,7,2,0
917,5,8036,6,1,0
918,5,9314,7,3,0
919,4,1020,7,3,0
920,4,7745,6,2,0
921,4,1892,6,5,0
922,5,2269,6,4,0
923,5,1671,6,2,0
924,4,9144,5,2,0
925,4,4836,6,4,1
926,4,3334,6,5,0
927,4,9840,6,2,0
928,5,2199,5,3,0
929,4,2890,7,4,0
930,5,1139,7,1,0
931,4,3230,7,2,0
932,5,160,5,1,0
933,4,6557,5,3,0
934,4,6699,5,2,0
935,5,8064,4,1,0
936,4,8992,5,2,0
937,4,7578,6,3,0
938,5,8094,4,1,0
939,4,5163,7,3,0
940,4,4930,7,3,1
941,4,5532,7,3,0
942,4,8952,5,3,0
943,4,7125,5,2,0
944,4,1430,5,1,0
945,5,307,6,2,0
946,4,1351,6,3,0
947,4,6071,5,3,0
948,4,6833,5,2,0
949,5,3635,6,2,0
950,5,578,4,2,0
951,4,6433,7,2,0
952,5,3655,4,1,0
953,5,2590,7,4,1
954,4,6750,7,2,0
955,5,9419,4,3,1
956,4,2423,5,2,0
957,4,7661,5,2,0
958,4,4462,6,1,0
959,4,7146,6,2,0
960,4,3285,5,5,1
961,5,1617,7,4,1
962,4,8684,4,2,0
963,4,3924,6,3,0
964,5,7116,4,2,0
965,4,6390,5,3,0
966,4,3225,6,3,1
967,5,2354,6,4,0
968,4,7411,6,3,0
969,4,8031,7,1,0
970,4,4747,6,2,0
971,4,2122,7,2,0
972,5,2393,4,2,0
973,4,7943,7,2,0
974,4,1812,5,3,0
975,5,9880,5,3,0
